m_lat,m_lon
61.08,-165.25
61.5,-166
62.17,-165.5
62.67,-164.83
63,-164.67
63.25,-163.92
63,-163
63.42,-162.25
63.5,-161
64,-160.75
64.42,-161.25
64.42,-161.25
64.83,-161
64.67,-161.92
64.42,-162.67
64.58,-163.67
64.5,-164.92
64.67,-166.33
65,-166.67
65.33,-166.33
65.42,-167.25
65.4602073667155,-167.394333937499
65.5002769422319,-167.539111483918
65.5402080471534,-167.684333292374
65.58,-167.83
65.6856092864369,-167.583047612547
65.7908159197552,-167.334075929404
65.8956146110974,-167.083066293475
66,-166.83
66.25,-165.75
66.5,-164.67
66.5,-163.83
66.08,-163.75
66.08,-162.17
66.42,-161.75
66.83,-162.5
67.17,-163.5
67.67,-164
67.98,-165.25
68.33,-166.17
68.83,-166
68.92,-164.83
69.08,-163.5
69.45,-163
69.92,-162.67
70,-145.08
69.83,-141.83
69.62,-141
69.58,-139.5
69.32,-138.33
69,-137.33
68.75,-136
69.17,-135.92
69.5,-135.17
69.58,-134.17
69.38,-133.33
69.67,-132.58
69.98,-131.17
69.83,-129.42
70,-128.5
69.58,-126.17
69.42,-125.33
70,-124.42
69.42,-124.33
69.37,-123.5
69.83,-123
69.83,-121.33
69.47,-120.25
69.22,-118.83
69,-117.5
68.97,-116
68.72,-114.67
68.3,-114.08
68.17,-115.08
67.83,-115.33
67.83,-114.17
67.67,-113
67.83,-111.58
68,-110.25
67.75,-109.25
67.58,-108.17
68,-107.83
68.25,-109
68.58,-108.25
68.75,-106.92
68.9,-105.67
68.35,-104.58
68.03,-103
67.75,-101.75
67.58,-100
67.58,-100
67.67,-98.75
68.25,-98.67
68.58,-98
69,-99.58
69.33,-98.58
69.83,-97.92
69.33,-96.42
68.75,-95.58
68.38,-96.92
67.82,-96.83
67.5,-95.83
67.98,-95.5
68,-95.17
68.5,-94.25
69,-94.67
69.42,-94
69.83,-95.67
69.75,-92.42
69.5,-91.33
69.08,-90.67
68.58,-89.92
69.25,-88.92
68.75,-88
68.33,-88
67.83,-88.17
67.25,-87.25
67.42,-86.5
67.83,-86.5
68.17,-85.42
68.75,-85.42
69.33,-85.5
69.83,-85.5
69.83,-84.25
69.67,-82.92
69.33,-82.75
69.2,-81.33
68.58,-81.33
68.58,-81.33
68.33,-82.42
67.83,-82.42
67.58,-81.17
67,-81.42
66.58,-82.67
66.17,-83.75
66.33,-85.08
66.58,-85.5
66.5,-86.75
66.17,-86
65.5,-87
65,-87
64.5,-87.75
64,-88.5
64,-90
63.42,-90.67
62.92,-90.58
62.75,-91.58
62.58,-92.5
62.08,-92.5
61.92,-93.17
61.5,-93.67
61,-94.17
60.58,-94.42
60.17,-94.67
59.58,-94.75
59.08,-94.75
58.67,-94.42
58.75,-93.75
58.67,-93.08
58.67,-93.08
58.08,-92.67
57.67,-92.67
57.25,-92.33
56.92,-92.33
57.08,-91.75
57.25,-91
56.92,-90
56.75,-89
56.42,-88.08
56.315255209495,-87.9338056093021
56.2103392088403,-87.7884116304059
56.1052536080741,-87.6438118252163
56,-87.5
55.9578413499627,-87.3319494414551
55.9154545589934,-87.1642655368941
55.872840488445,-86.996948869602
55.83,-86.83
55.67,-86
55.25,-85
55.25,-84
55.25,-83
55,-82.17
54.25,-82.42
53.83,-82.17
53.42,-82.17
52.92,-82.33
52.5,-81.67
52.08,-81.25
51.75,-80.75
51.33,-80.42
51,-79.75
51.33,-79.83
51.67,-79
52.17,-78.42
52.67,-78.83
53.17,-78.83
53.17,-78.83
53.75,-78.92
54.17,-79.17
54.58,-79.5
54.83,-78.75
55.17,-78
55.58,-77.25
56,-76.75
56.67,-76.75
57.25,-77
57.67,-77.17
58.25,-77.5
58.42,-78.08
58.75,-78.67
59.08,-78.58
59.17,-77.92
59.58,-77.42
60,-77.42
60.5,-77.58
60.75,-78.08
61.17,-77.75
61.2725428483386,-77.6881124384374
61.3750573369968,-77.6258194511825
61.4775431582423,-77.5631167529266
61.58,-77.5
61.6427292242723,-77.6441197826654
61.7053063119304,-77.7888247246953
61.7677302452488,-77.9341173053397
61.83,-78.08
62.25,-78.08
62.5,-77.42
62.42,-76.42
62.25,-75.5
62.25,-74.83
62.42,-73.67
62.17,-72.92
61.83,-72.25
61.83,-72.25
61.58,-71.5
61.25,-71.75
61,-71
61,-70.25
60.92,-69.5
60.5,-69.67
60.08,-69.42
59.58,-69.5
59.25,-69.5
58.83,-69
58.75,-68.42
58.17,-67.75
58.42,-66.75
58.75,-66.42
59,-65.67
59.42,-65.25
59.75,-65.58
60,-65.17
60.33,-64.67
60,-64.33
59.5,-63.83
59,-63.25
58.5,-62.83
58,-62.33
57.67,-61.83
57.33,-61.83
57.08,-61.33
56.75,-61.75
56.25,-61.75
55.92,-61.33
55.92,-61.33
55.67,-60.5
55.25,-60.33
55.17,-59.25
54.83,-58.92
54.75,-58
54.6876934406893,-57.874423219653
54.6252574583237,-57.7492318102636
54.5626927476577,-57.6244244963679
54.5,-57.5
54.4180351975872,-57.7087501516841
54.3357119210838,-57.916665356893
54.2530326871059,-58.1237478718261
54.17,-58.33
54.1482774680051,-58.079595617536
54.1260359667913,-57.829456994954
54.1032764770967,-57.5795898865283
54.08,-57.33
53.67,-57.25
53.67,-56.5
53.17,-55.83
52.75,-56
52.08,-55.67
51.83,-56.17
51.5,-56.83
51.42,-57.83
51.17,-58.67
50.83,-59.08
50.5,-59.5
50.17,-60
50.17,-60.92
50.08,-61.67
50.25,-62.17
50.25,-62.83
50.25,-63.42
50.33,-64
50.25,-64.75
50.25,-65.42
50.25,-66
50.08,-66.75
50.08,-66.75
49.75,-67.17
49.33,-67.33
49.33,-68
48.92,-68.67
48.58,-69.25
48.17,-69.67
47.83,-70
47.5,-70.42
47.17,-70.75
46.83,-71.17
47,-70.5
47.33,-70.08
47.67,-69.67
48.08,-69.25
48.42,-68.67
48.67,-68
48.83,-67.42
49.08,-66.75
49.17,-66
49.25,-65.25
49.08,-64.58
48.83,-64.25
48.5,-64.25
48.25,-64.83
48.08,-65.33
48.08,-66.33
47.58,-65.67
47.75,-64.83
47.33,-65
46.75,-64.92
46.75,-64.92
46.25,-64.58
46.08,-64
45.75,-63.25
45.67,-62.58
45.83,-62
45.75,-61.5
46.17,-61.5
46.58,-61
47,-60.67
46.83,-60.42
46.33,-60.5
46.2478676707003,-60.3317456714901
46.1654892673137,-60.1639952032256
46.0828662318686,-59.996747136637
46,-59.83
45.9177852218078,-59.9781567837507
45.8353795551792,-60.1258746786771
45.7527841123611,-60.2731552330809
45.67,-60.42
45.5,-61
45.17,-61.17
45,-62
44.75,-63
44.5,-63.67
44.5,-64.17
44.17,-64.5
43.83,-65
43.5,-65.5
43.75,-66
44.17,-66.17
44.58,-65.92
44.92,-65.33
45.08,-64.92
45.42,-64.25
45.33,-64.92
45.67,-64.83
45.67,-64.83
45.33,-65.58
45.17,-66.25
45.17,-67
44.83,-67
44.58,-67.5
44.42,-68
44.25,-68.58
44.42,-68.83
44,-69.17
43.83,-69.75
43.67,-70.25
43.5,-70.25
43.17,-70.58
42.83,-70.83
42.58,-70.75
42.33,-71
42.17,-70.67
41.75,-70.5
41.79,-70
42.02,-70.04
41.67,-69.93
41.5,-70.67
41.67,-70.67
41.5,-71.08
41.75,-71.33
41.42,-71.5
41.25,-72
41.25,-72.5
41.25,-73
41.08,-73.5
41.08,-73.5
40.83,-74
40.5,-74.33
40.33,-74
39.83,-74.17
39.33,-74.5
39,-75
39.33,-75.25
39.5,-75.58
39,-75.42
38.8551412854205,-75.314359267803
38.7101878005004,-75.2091481363962
38.5651404175513,-75.1043629286282
38.42,-75
38.3575498042996,-75.0626616852532
38.2950663179822,-75.1252153336054
38.2325496728087,-75.1876613154244
38.17,-75.25
37.75,-75.58
37.25,-75.75
37.17,-76
37.67,-75.83
38,-75.67
38,-76
38.25,-75.92
38.42,-76.33
38.83,-76.17
39.17,-76.17
39.5,-76
39.33,-76.42
39,-76.58
38.5,-76.5
38.17,-76.42
38.25,-76.92
37.92,-76.33
37.5,-76.42
37.17,-76.42
37.17,-76.42
36.83,-76
36.5,-75.83
36.11,-75.66
35.85,-75.53
36.21,-75.91
36.17,-76
36.08,-76.33
35.92,-76.75
35.92,-76.25
35.92,-75.83
35.58,-75.83
35.33,-76
35.33,-76.33
35,-76.83
35,-76.33
34.75,-76.58
34.67,-77.17
34.33,-77.58
34,-78
33.92,-78.42
33.67,-78.92
33.33,-79.17
33,-79.5
32.67,-80
32.42,-80.5
32,-81
31.5,-81.25
31,-81.5
30.5,-81.42
30,-81.33
30,-81.33
29.5,-81.08
29,-80.92
28.5,-80.58
28.17,-80.58
27.58,-80.33
27,-80.08
26.42,-80.08
25.83,-80.17
25.33,-80.42
25.17,-80.67
25.08,-81.08
25.5,-81.25
25.83,-81.67
26.33,-81.92
26.75,-82.17
27.08,-82.5
27.1650042553486,-82.519954234216
27.2500056835862,-82.5399388743637
27.3350042700481,-82.5599540771468
27.42,-82.58
27.5450171836611,-82.5401369312649
27.6700229695792,-82.5001830318643
27.7950172708601,-82.4601376176982
27.92,-82.42
27.8975736775494,-82.5025513928908
27.8750981920465,-82.5850685425664
27.8525736105052,-82.6675514208719
27.83,-82.75
28.17,-82.75
28.58,-82.67
29.08,-82.83
29.17,-83.08
29.75,-83.5
30.08,-83.92
30,-84.42
29.75,-84.83
29.67,-85.33
30.08,-85.5
30.25,-86
30.25,-86
30.5,-86.33
30.42,-86.83
30.33,-87.33
30.33,-87.83
30.67,-88
30.42,-88.25
30.5,-88.75
30.5,-89.17
30.25,-89.67
30.5,-90.17
30.08,-90.42
30,-90.08
30.08,-89.67
30.08,-89.25
29.83,-89.33
29.67,-89.58
29.5,-89.58
29.17,-89.08
29,-89.25
29.25,-89.5
29.33,-89.83
29.17,-90.17
29.08,-90.75
29.17,-91.25
29.5,-91.33
29.83,-91.83
29.58,-92.25
29.67,-92.75
29.83,-93.25
29.75,-93.83
29.75,-93.83
29.67,-94.25
29.42,-94.75
29.83,-94.75
29.7900768276896,-94.8325987940275
29.7501023543806,-94.9151316754455
29.7100767039162,-94.9975987190326
29.67,-95.08
29.5650438851623,-95.0173055158737
29.4600583897768,-94.9547412123031
29.3550436997799,-94.8923063015243
29.25,-94.83
29.187580523613,-94.9151551336428
29.1251072295714,-95.0002066434796
29.0625803208878,-95.0851548316019
29,-95.17
28.75,-95.5
28.67,-96
28.33,-96.5
28,-97
27.67,-97.33
27.17,-97.42
26.67,-97.25
26.17,-97.25
25.75,-97.17
25.33,-97.42
24.83,-97.58
24.33,-97.75
23.83,-97.75
23.33,-97.75
22.83,-97.75
22.42,-97.92
21.92,-97.75
21.58,-97.25
21.25,-97.42
20.83,-97.25
20.5,-97
20.17,-96.67
19.67,-96.42
19.25,-96.17
19.25,-96.17
18.83,-95.83
18.67,-95.33
18.5,-94.83
18.17,-94.5
18.17,-94.17
18.33,-93.58
18.42,-93
18.67,-92.42
18.58,-91.83
18.42,-91.83
18.58,-91.25
18.83,-91.33
19.08,-91
19.25,-90.67
19.67,-90.67
20,-90.5
20.42,-90.42
21,-90.33
21.17,-90
21.25,-89.5
21.33,-89
21.5,-88.5
21.58,-88
21.5,-87.58
21.5,-87.08
21.33,-86.83
20.92,-86.83
20.5,-87.25
20,-87.42
19.8750033398573,-87.4400471300025
19.7500044406535,-87.460062664131
19.6250033211481,-87.4800468665453
19.5,-87.5
19.5,-87.5
19.5,-87.5
19.5,-87.5
19.5,-87.5
19.375003268755,-87.5200458424419
19.2500043459626,-87.5400609500227
19.1250032502132,-87.5600455829308
19,-87.58
18.42,-87.67
17.92,-87.92
18.33,-88.17
17.5,-88.25
17,-88.25
16.33,-88.5
16,-89
15.83,-88.58
15.58,-88.17
15.83,-87.58
15.67,-87
15.75,-86.5
15.92,-86
15.83,-85.5
15.92,-85
15.83,-84.67
15.75,-84.25
15.33,-83.83
15.17,-83.42
15,-83.25
14.25,-83.25
13.83,-83.5
13.25,-83.5
12.75,-83.5
12.17,-83.67
11.67,-83.67
11.25,-83.83
10.83,-83.67
10.42,-83.42
10.42,-83.42
10,-83.17
9.67,-82.75
9.42,-82.33
9,-82.17
9,-81.75
8.75,-81.42
8.92,-80.83
9.08,-80.33
9.25,-79.83
9.58,-79.58
9.58,-79.08
9.42,-78.67
9.33,-78.25
9,-77.83
8.67,-77.5
8.33,-77.17
7.83,-76.75
8.58,-76.75
9,-76.25
9.42,-76
9.5,-75.58
10,-75.58
10.5,-75.5
10.83,-75.25
11,-74.83
10.92,-74.42
11.25,-74.17
11.17,-73.5
11.42,-73
11.67,-72.67
11.67,-72.67
11.83,-72.25
12.17,-72
12.42,-71.67
12.33,-71.33
12.08,-71.17
11.67,-71.42
11.5,-71.92
11,-71.67
10.58,-71.5
10.25,-71.75
9.75,-72
9.42,-71.75
9,-71.67
9.17,-71.08
9.75,-71.08
10.33,-71.42
10.92,-71.42
11.08,-71
11.25,-70.58
11.5,-70.17
11.92,-70.33
12.17,-69.92
11.5,-69.75
11.5,-69.33
11.42,-68.83
11.17,-68.42
10.75,-68.33
10.42,-68.17
10.5,-67.58
10.5,-67
10.5,-67
10.58,-66.58
10.58,-66.17
10.33,-66
10.17,-65.58
10.08,-65
10.25,-64.5
10.67,-64
10.67,-63.42
10.67,-62.75
10.6701001527273,-62.6050000318369
10.6701335370459,-62.4600000000003
10.6701001527273,-62.3149999681637
10.67,-62.17
10.6277038398687,-62.3775863242996
10.5852713900106,-62.585115053832
10.5427032448294,-62.7925862557096
10.5,-63
10.17,-62.67
9.75,-62.33
9.83,-62
9.67,-61.58
9.5,-61
9,-60.83
8.42,-61
8.58,-60.25
8.25,-59.67
7.92,-59.17
7.58,-58.67
7.17,-58.5
6.75,-58.58
6.83,-58.17
6.5,-57.67
6.25,-57.33
5.92,-57.08
5.83,-56.5
5.83,-56
5.83,-56
5.92,-55.5
5.92,-55
5.83,-54.5
5.67,-54
5.58,-53.67
5.42,-53.25
5.17,-52.75
4.83,-52.33
4.5,-51.83
4.25,-51.5
3.75,-51
3.17,-51
2.5,-50.67
1.83,-50.5
1.75,-49.92
1,-50
0.5,-50.42
0.17,-50.75
-0.17,-51.17
-0.67,-51.33
-1.25,-51.42
-1,-50.83
-1.67,-50.58
-1,-50.42
-0.42,-50.42
-0.17,-50
-0.25,-49.5
-0.17,-49
-0.33,-48.42
-1,-48.58
-1,-48.58
-1.42,-48.75
-1.58,-48.5
-0.83,-48.17
-0.67,-47.83
-0.67,-47.25
-1,-46.67
-1.17,-46.17
-1.33,-45.5
-1.67,-45.33
-1.5,-44.83
-1.92,-44.67
-2.33,-44.42
-2.83,-44.58
-2.67,-44
-2.42,-43.5
-2.5,-43
-2.75,-42.5
-2.75,-42
-3,-41.5
-3,-41
-2.83,-40.5
-2.83,-40
-3.17,-39.5
-3.5,-39
-3.83,-38.5
-4.17,-38.17
-4.5,-37.83
-4.75,-37.33
-5.08,-37
-5.17,-36.5
-5.17,-36.5
-5.08,-36
-5.25,-35.42
-5.83,-35.17
-6.42,-35
-7,-34.83
-7.5,-34.75
-8.17,-34.83
-8.67,-35.08
-9.17,-35.33
-9.58,-35.58
-10,-36
-10.42,-36.25
-10.75,-36.75
-11,-37
-11.5,-37.33
-12,-37.58
-12.58,-38
-13,-38.42
-13.33,-38.92
-14,-39
-14.5,-39.08
-15,-39
-15.5,-39
-16,-38.92
-16.58,-39.08
-17.17,-39.17
-17.67,-39.17
-18,-39.5
-18.5,-39.58
-19,-39.58
-19,-39.58
-19.5,-39.67
-20,-40.17
-20.5,-40.33
-21,-40.83
-21.5,-41
-22,-41
-22.25,-41.5
-22.5,-42
-22.92,-42
-22.92,-42.5
-23,-43
-23,-43.5
-22.92,-44
-23,-44.67
-23.33,-44.5
-23.33,-45
-23.83,-45.42
-23.67,-45.75
-24,-46.33
-24.17,-46.83
-24.58,-47.25
-25,-47.75
-25.42,-48.17
-25.83,-48.58
-26.33,-48.58
-27,-48.58
-27.5,-48.5
-28,-48.58
-28.5,-48.75
-28.67,-49
-28.67,-49
-29,-49.42
-29.5,-49.83
-30,-50.17
-30.5,-50.33
-31,-50.67
-31.5,-51
-31.83,-51.5
-32.17,-52
-32.5,-52.42
-33,-52.58
-33.5,-53
-33.83,-53.5
-34.17,-53.58
-34.5,-54
-34.75,-54.5
-34.83,-55
-34.75,-55.67
-34.83,-56.25
-34.67,-56.83
-34.42,-57.17
-34.42,-57.83
-34,-58.33
-34.33,-58.5
-34.67,-58.33
-35,-57.5
-35.33,-57.17
-35.83,-57.42
-36.25,-57.17
-36.33,-56.75
-36.83,-56.67
-36.83,-56.67
-37.33,-57
-37.75,-57.42
-38.17,-57.58
-38.42,-58.17
-38.58,-58.67
-38.75,-59.33
-38.83,-60
-38.92,-60.5
-39,-61.25
-39,-62
-38.75,-62.25
-39.17,-62.33
-39.5,-62
-39.83,-62.17
-40.33,-62.42
-40.58,-62.25
-40.92,-62.33
-41.17,-63
-41.17,-63.83
-41,-64.33
-40.75,-64.83
-40.812593468583,-64.9147595081485
-40.8751247948558,-64.9996790132277
-40.9375937239525,-65.084759011538
-41,-65.17
-41.1250233770185,-65.1277432858537
-41.2500312548644,-65.0853252574962
-41.3750235055943,-65.0427446035575
-41.5,-65
-42.08,-65
-42.33,-64.5
-42.08,-63.75
-42.58,-63.58
-42.83,-63.67
-42.83,-64.17
-42.5,-64.5
-42.5,-64.5
-42.83,-65
-43,-64.33
-43.33,-65
-43.67,-65.25
-44,-65.17
-44.5,-65.17
-44.67,-65.58
-45,-65.58
-45,-66.17
-45.25,-66.83
-45.5,-67.17
-46,-67.5
-46.5,-67.42
-46.83,-67
-47.17,-66.5
-47.17,-65.75
-47.5,-65.67
-48,-65.83
-48.33,-66.33
-48.67,-67
-49,-67.5
-49.5,-67.67
-50,-67.83
-50.17,-68.5
-50.5,-69
-51,-69.17
-51.42,-69
-51.83,-68.83
-52.33,-68.33
-52.25,-69
-52.25,-69
-52.25,-69.5
-52.5,-69.58
-52.5,-70
-52.75,-70.75
-53.25,-70.92
-53.75,-70.92
-53.83,-71.25
-53.67,-72
-53.42,-72.25
-53.17,-71.33
-52.83,-71.08
-52.75,-71.5
-53.17,-72
-53.42,-72.5
-53.17,-73.17
-52.92,-73.5
-52.67,-73.5
-52.58,-74
-52.17,-74.17
-52.42,-74.5
-52.25,-75
-51.75,-75
-51.83,-74.33
-51.5,-74.17
-51,-74.33
-51.33,-74.5
-51.3930484462007,-74.7066474406907
-51.4557324765105,-74.9138635808113
-51.5180502688262,-75.1216479425486
-51.58,-75.33
-51.4775871316498,-75.246944442522
-51.375115860134,-75.1642611280328
-51.2725866597267,-75.0819472433073
-51.17,-75
-50.67,-74.83
-50.75,-74.5
-50.75,-74.5
-50.42,-74.67
-50,-74.5
-50.75,-75.33
-50.17,-75.33
-50.1075878562742,-75.247177316949
-50.0451169535423,-75.164570312725
-49.9825875744099,-75.0821781515034
-49.92,-75
-49.8977016928952,-75.1251744780687
-49.8752687691246,-75.2502329677141
-49.8527014605738,-75.3751749724113
-49.83,-75.5
-49.42,-75.42
-49.17,-75.58
-48.58,-75.42
-48.17,-75.42
-47.83,-75.33
-47.75,-74.92
-48.33,-74.5
-47.83,-74.5
-47.42,-74.42
-46.83,-74
-46.83,-74.5
-46.67,-75
-46.92,-75.5
-46.58,-75.5
-46.17,-74.75
-45.92,-75
-45.83,-74.5
-45.58,-74.67
-45.25,-74.5
-45,-74.33
-44.58,-74.5
-44.17,-74.25
-43.83,-73.83
-44.17,-73.5
-44.17,-73.5
-44.42,-73.67
-44.67,-73.58
-45,-73.83
-45.17,-73.67
-45.5,-73.58
-45,-73.33
-44.67,-73.42
-44.42,-73
-44.17,-73.17
-43.75,-72.83
-43.42,-73
-43,-72.75
-42.33,-72.75
-42.2900509425956,-72.6873810265864
-42.2500678630034,-72.6248414650984
-42.2100508519644,-72.562381171068
-42.17,-72.5
-42.1275509162072,-72.5626256885556
-42.0850678242299,-72.6251674712363
-42.0425508202015,-72.6876255183144
-42,-72.75
-41.9175509135654,-72.6872579029007
-41.8350677608861,-72.6246777486531
-41.7525507280541,-72.56225871897
-41.67,-72.5
-41.6277032699699,-72.625246803806
-41.5852707729349,-72.7503291135976
-41.5427028894544,-72.8752468655119
-41.5,-73
-41.83,-73.17
-41.75,-73.58
-41.42,-73.75
